url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/resident-evil-0/,Resident Evil 0,"Nov 12, 2002","GameCube, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Wii, Xbox 360, Xbox One",Those who have stuck with the Resident Evil series despite its dogged insistence on not changing its ways will find that Resident Evil 0 still has a lot to offer.,"Capcom, Flagship",Capcom,"Action, Adventure, Survival, 3D",Mature
https://www.gamespot.com/games/jet-x2o/,Jet X2O,"Oct 28, 2002",PlayStation 2,"The game is solid and doesn't fall short in any particular category, but it doesn't really make any improvements to the standard extreme racing formula, either.",Killer Game,"SCEE, SCEA","Driving/Racing, Arcade",Everyone
https://www.gamespot.com/games/wreckless-the-yakuza-missions/,Wreckless: The Yakuza Missions,"Feb 4, 2002","GameCube, PlayStation 2, Xbox","If you're looking for a great-looking game that will show off the Xbox's graphical muscle, Wreckless fits the bill.","Stealth Studios, Bunkasha Publishing","Activision, Bunkasha Publishing","Driving/Racing, Arcade",Teen
https://www.gamespot.com/games/robin-hood-the-legend-of-sherwood/,Robin Hood: The Legend of Sherwood,"Nov 14, 2002","Linux, Macintosh, PC","An entertaining story, an impressive mission design, and a lively combat system have been brought together in such a way that the complete game works on nearly every level.","e.p.i.c. interactive, Spellbound","Runesoft, Freeverse Software, Microids, Frogster Interactive, Strategy First, Peter Games, MC2 Entertainment, Meridian4","Real-Time, Strategy",Teen
https://www.gamespot.com/games/orb-off-world-resource-base/,O.R.B.: Off-World Resource Base,"Nov 4, 2002",PC,"O.R.B. lacks inspiration, but it's a decent real-time strategy game for those who are tired of being confined to terra firma.",Strategy First,"Strategy First, Mindscape Inc.","Strategy, Real-Time",Teen
https://www.gamespot.com/games/darkspace-2001/,DarkSpace (2001),"Dec 20, 2001",PC,"DarkSpace is a persistent ""offworld"" epic that shifts many conventions of online role-playing games into science-fiction territory.",Palestar,Got Game Entertainment,Simulation,Teen
https://www.gamespot.com/games/bmx-xxx/,BMX XXX,"Nov 15, 2002","GameCube, PlayStation 2, Xbox","Aside from making the 'groundbreaking' move of featuring a lot of cursing and strippers, BMX XXX doesn't do anything particularly well.","Z-Axis, Ltd.",Acclaim,Sports,Mature
https://www.gamespot.com/games/zapper/,Zapper,"Oct 9, 2002","Game Boy Advance, GameCube, PC, PlayStation 2, Xbox","Zapper delivers challenging action puzzle gameplay in a colorful, upbeat setting.","Blitz Games, Atomic Planet Entertainment",Infogrames,"3D, Platformer, Action",Everyone
https://www.gamespot.com/games/cubivore-survival-of-the-fittest/,Cubivore: Survival of the Fittest,"Nov 5, 2002",GameCube,"As an offbeat conceptual piece, Cubivore is a must-have. As a game, it's slightly above average--an interesting combination of puzzle-solving and action that's plagued with camera issues.",Saru Brunei,"ATLUS, Nintendo","Action, Puzzle",Everyone
https://www.gamespot.com/games/zapper/,Zapper,"Oct 9, 2002","Game Boy Advance, GameCube, PC, PlayStation 2, Xbox","Zapper delivers challenging action puzzle gameplay in a colorful, upbeat setting.","Blitz Games, Atomic Planet Entertainment",Infogrames,"Platformer, Action, 3D",Everyone
https://www.gamespot.com/games/kakuto-chojin/,Kakuto Chojin,"Nov 11, 2002",Xbox,"While it offers some impressive production values, it ultimately seems shallow and incomplete, and it won't hold any fighting game player's attention for long.",DreamFactory,Microsoft Game Studios,"Action, 3D, Fighting",Teen
https://www.gamespot.com/games/dogs-playing-poker/,Dogs Playing Poker,"Sep 30, 2002",PC,"Dogs Playing Poker might not be as clever or as funny as it could have been, but it's still a decent alternative to solitaire.",ValuSoft,ValuSoft,Gambling,Everyone
