url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/the-sims-bustin-out/,The Sims Bustin' Out,"Dec 15, 2003","Game Boy Advance, GameCube, N-Gage, PlayStation 2, Xbox","The Sims Bustin' Out makes good, solid improvements over its predecessor and stands on its own as a great version of The Sims for consoles.","Griptonite Games, Maxis, Ideaworks3D","EA Games, Electronic Arts",Simulation,Teen
https://www.gamespot.com/games/the-sims-bustin-out/,The Sims Bustin' Out,"Dec 15, 2003","Game Boy Advance, GameCube, N-Gage, PlayStation 2, Xbox","The Sims Bustin' Out makes good, solid improvements over its predecessor and stands on its own as a great version of The Sims for consoles.","Griptonite Games, Maxis, Ideaworks3D","EA Games, Electronic Arts",Simulation,Teen
https://www.gamespot.com/games/medabots-ax-rokusho-ver/,Medabots AX,"Jun 25, 2002",Game Boy Advance,"Medabots AX is just too basic to warrant serious attention, let alone the purchase of two cartridges.",Natsume,"Natsume, Rocket Company","Action, 2D, Fighting",Everyone
https://www.gamespot.com/games/culdcept-2003/,Culdcept (2003),"Dec 4, 2003",PlayStation 2,"The well-designed mechanics, combined with its sheer amount of content, make Culdcept easily recommendable to fans of strategy games and even to fans of role-playing games.",Omiya Soft,"NEC Interchannel, AK Communications, Sega",Trivia/Board Game,Teen
https://www.gamespot.com/games/yu-gi-oh-power-of-chaos-yugi-the-destiny/,Yu-Gi-Oh! Power of Chaos: Yugi the Destiny,"Jan 12, 2004",PC,"Beyond dueling with the AI, there isn't anything else to Power of Chaos--no story mode, no multiplayer, nothing.",Konami,Konami,Card Game,Everyone
https://www.gamespot.com/games/tokyo-xtreme-racer-3/,Tokyo Xtreme Racer 3,"Nov 18, 2003",PlayStation 2,"Even as a budget title, TXR3 doesn't stand up to the other games in the genre.",Genki,"Crave, Genki","Driving/Racing, Simulation",Everyone
https://www.gamespot.com/games/prince-of-persia-the-sands-of-time/,Prince of Persia: The Sands of Time,"Oct 28, 2003","Game Boy Advance, GameCube, PC, PlayStation 2, PlayStation 3, Xbox","Prince of Persia: The Sands of Time can be recommended wholeheartedly. It looks fantastic and features responsive controls, some original play mechanics, a good story, and plenty of thrilling adventure.","Ubisoft Montreal, Ubisoft","Ubisoft, ak tronic, Sold Out Software","Action, Adventure",Teen
https://www.gamespot.com/games/mucha-lucha-mascaritas-of-the-lost-code/,Mucha Lucha! Mascaritas of the Lost Code,"Nov 18, 2003",Game Boy Advance,Mucha Lucha! Mascaritas of the Lost Code is a game so utterly devoid of challenge that actually calling it a game almost seems too generous.,Digital Eclipse,Ubisoft,"Action, Fighting, Wrestling",Everyone
https://www.gamespot.com/games/the-king-of-fighters-2000-2001/,The King of Fighters 2000/2001,"Dec 9, 2003",PlayStation 2,The King of Fighters 2000/2001 contains two faithful ports of two great 2D fighting games at a pretty good price.,SNK Playmore,"Ignition Entertainment, SNK Playmore",Compilation,Teen
https://www.gamespot.com/games/dr-seuss-the-cat-in-the-hat/,Dr. Seuss' The Cat in the Hat,"Nov 5, 2003","Game Boy Advance, PC, PlayStation 2, Xbox",This 3D action adventure lets you take control of the cat from Dr. Seuss' classic children's book.,Digital Eclipse,"Coktel Vision, VU Games, Microsoft Game Studios","Platformer, Action, 2D",Everyone
https://www.gamespot.com/games/broken-sword-the-sleeping-dragon/,Broken Sword: The Sleeping Dragon,"Nov 17, 2003","PC, PlayStation 2, Xbox",Developer Revolution Software really understands the adventure genre and capitalizes on its strengths in Broken Sword: The Sleeping Dragon.,Revolution Software,"The Adventure Company, THQ, ValuSoft, Kalypso, ak tronic, Marvelous","Third-Person, Adventure, 3D",Teen
